,authors
0,Iacopo Pozzana
1,George Lifchits
2,David Garcia 
3,Manikumar Perla
4,Juhi Kulshrestha
5,Mirko Reul
6,Masoomali Fatehkia
7,Fiona Murray
8,Chris Tokita
9,Sandy Pentland
10,Judith Moeller
11,Mitsuhiro Odaka
12,Gianmarco De Francisci Morales
13,Farhana Ferdousi Liza
14,Nina Savela
15,Mohamed Musbah
16,Florian Lemmerich
17,Yizhi Jing
18,Joyojeet Pal 
19,Alexandra Olteanu
20,Kimmo Kaski
21,Balazs Lengyel
22,David Jurgens
23,Simon Walk
24,Sicheng Dai
25,Alina Vogelgesang
26,Hanna Wallach
27,Yang Wang
28,Ingmar Weber
29,Chico Camargo
30,Brent D. Fegley
31,Takanori Nishida
32,Georgios Anagnostopoulos
33,Iain Couzin
34,Matteo Magnani
35,Akira Ishii
36,Oliver Hohlfeldt
37,Mason A. Porter
38,Sander Scholtus
39,Abe Hofman
40,Christa Brelsford
41,Hanno Friedrich
42,Gary Fireman
43,Simon Schweighofer
44,Andrea Ballatore
45,Kinga Makovi
46,Hélène Bouchet
47,Marina Petrova
48,Helge Reelfs
49,Yizhou Sun
50,Markus Strohmaier
51,Johan Koskinen
52,Riccardo Di Clemente
53,Jessica Hullman
54,Javier Garcia-Bernardo
55,Carlos Rodriguez Sickert
56,Philip Leifeld
57,Shawnna Mullenax
58,Morgan Frank
59,Angelo Cardoso
60,Neda B. Hajiakhoond 
61,Roberta Sinatra
62,Daniel Villatoro
63,Marco Brambilla
64,Abhishek Samantray
65,Tyler Amos
66,Jakob Jünger
67,Tomasz P. Michalak
68,Steve R. Scheinert
69,Benjamin Vandermarliere
70,Henry Smart III
71,Ludo Waltman
72,Jérémie Rappaz
73,Dirk Van Rooy
74,Richard Zemel
75,Theresa Gessler
76,Sai Hitesh Jonnalagadda
77,Sanja Hajdinjak
78,Madeline Schiappa
79,Hendrik Heuer
80,Alfredo Morales
81,Andreia Sofia Teixeira
82,Alex Pentland
83,Ece Mutlu
84,Hang-Hyun Jo
85,Jasser Jasser
86,Yifan Qian
87,Gordon Pennycook
88,Vincent Buskens
89,Fredrik Jansson
90,Kimmo Eriksson
91,Galina Daraganova 
92,Janina Beckmann
93,Yuan Tian
94,Christo Wilson
95,Leila Zia
96,Flavio Pinheiro 
97,Nikolas Zöller
98,Jens Hainmueller
99,Silke Adam
100,Lorien Jasny
101,Michiel Bakker
102,Chathika Gunaratne
103,Mohsen Mosleh
104,Chathurani Senevirathna
105,Kai Zhou
106,George Pallis
107,Camille Roth
108,Gustavo Jota Resende
109,Joseph Bak-Coleman
110,Krishna Gummadi
111,Johannes Gruber
112,Joris Broere
113,Daniel Goldstein
114,Lushi Chen
115,Matthieu Brinkhuis
116,Yasuko Kawahata
117,Gabriela Molina León
118,David Rozado
119,Dean Eckles
120,Iyad Rahwan 
121,Mikko Kivelä
122,Binglu Wang
123,Dieter Wang
124,Nees Jan Van Eck
125,Tom Broekel
126,Milan van den Heuvel
127,Kirk Bansak
128,Duncan Watts 
129,Wei Lee Woon
130,Casper Albers
131,Johan Ugander
132,Claudia Wagner
133,Melissa Ellamil
134,Eduardo Graells-Garrido
135,Angel Sánchez
136,Laura Bringmann
137,Oren Lederman
138,Marcin Waniek
139,Johan Bollen
140,Dong Nguyen
141,Adina Nerghes
142,Oana Vuculescu
143,Alexandre P Francisco
144,Hywel Williams
145,Joanna Sterling
146,Gianluca Carnabuci
147,Emre Calisir
148,Nuria Oliver
149,Ben Thies
150,Onyi Lam
151,Johannes Wachs
152,Florianne Verkroost
153,Rense Corten
154,Milena Tsvetkova 
155,Christos Nicolaides
156,Loretta Auvil
157,Subhayan Mukerjee
158,Jan van de Laan
159,Jussara Almeida
160,Taha Yasseri
161,Albert Laszlo Barabasi
162,Abigail Jacobs
163,Ethan Bernstein
164,Lukas Fervers
165,Jisun An
166,Cristian Candia Vallejos
167,Devyani Parameshwar
168,Rachel Winter
169,Adam Pah and Brian Uzzi
170,Federico Battiston
171,Michael Mauskapf
172,David Schoch 
173,Esteban Moro
174,Sunandan Chakraborty
175,Reham Al Tamime
176,Abhijnan Chakraborty
177,Aurelie Nardy
178,Philippa Shoemark
179,Chao Min
180,Ulrich Matter
181,Hernan Makse
182,Anna Shirokanova
183,Yifang Ma
184,Philipp Hövel
185,Fernando P. Santos
186,Fabrizio Germano
187,Dan Goldstein
188,Zachary Neal
189,William Rand
190,Isak Ladegaard
191,David Darmon 
192,Peter Barbrook-Johnson
193,Santo Fortunato
194,Judith Kas
195,Alexandra Pang
196,César Hidalgo
197,Ylli Prifti
198,Luis Amaral
199,Jan Overgoor
200,Souvik Ghosh
201,Gabriel Fair 
202,Laszlo Lorincz
203,Lisette Espín-Noboa
204,Jacob Miller
205,Manuel Cebrian
206,Ridhi Kashyap 
207,Yannick Léo
208,Daniele Silvestro
209,Filippo Radicchi
210,John T. Murphy
211,Lada Adamic
212,Rebekah Tromble
213,Jaime Oliver
214,Geoffrey Canright
215,John Hagan
216,Joachim Piepenburg
217,Lovro Šubelj
218,Dr
219,Antonio Arechar
220,Nitin Bhushan
221,Aamena Alshamsi
222,Sara Encanaçao
223,Marco De Nadai
224,János Kertész
225,Charles Howland
226,Thomas Baudin
227,Morgan R. Frank
228,David Schoch
229,Abdullah Almaatouq
230,Aleksandra Urman
231,Ronald Robertson
232,David Rand
233,Talal Rahwan
234,Marios Dikaiakos
235,Chathika Gunaratne 
236,Kayla de la Haye
237,Kirill Martynov
238,Marcel Wittich
239,Jacob G. Foster
240,Luca Maria Aiello
241,Swapnil Gavade
242,Andreas Breiter
243,Meeyoung Cha
244,Gabor Bekes
245,Pontus Strimling
246,Milad Abbasiharofteh
